,title,company,location
0,Pessoa Desenvolvedora JAVA Pleno/Sênior,CATSKILLET,"Home Office in Fortaleza, CE"
1,Desenvolvedor Java Junior/MidLevel - Trabalho Remoto,BairesDev,"Home Office in Fortaleza, CE"
2,Pessoa Desenvolvedora FullStack Java / React Pleno,CATSKILLET,"Home Office in Fortaleza, CE"
3,"Senior Java Developer, Trilogy (Remote) - $60,000/year USD",Crossover,"Home Office in Fortaleza, CE"
4,"Senior Developer, Trilogy (Remote) - $100,000/year USD",Crossover,"Home Office in Fortaleza, CE"
5,Desenvolvedor Java Pleno,Engesoftware,"Fortaleza, CE"
6,"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover,"Home Office in Fortaleza, CE"
7,Instrutor de Informática,Future Qualificação Profissional,"Fortaleza, CE"
8,"Senior Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover,"Home Office in Fortaleza, CE"
9,"C# Software Developer, Trilogy (Remote) - $60,000/year USD",Crossover,"Home Office in Fortaleza, CE"
10,Desenvolvedor Java Backend - Trabalho Remoto,BairesDev,"Home Office in Fortaleza, CE"
11,Pessoa Desenvolvedora Back-End Node.JS Pleno,CATSKILLET,"Home Office in Fortaleza, CE"
12,Pessoa Desenvolvedora Python PL/SR,CATSKILLET,"Home Office in Fortaleza, CE"
13,"Senior Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover,Home Office in Ceará
14,ANALISTA DESENVOLVEDOR - FORTALEZA,OEmprego,"Fortaleza, CE"
